White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
theprof,HalixxSabre,1728,1744,1-0,180+0,C00,79,2025.05.30
camthejam,shambhala,1581,1686,0-1,180+0,A10,116,2025.05.30
dad,morlok,1580,1420,1-0,180+0,A03,33,2025.05.30
WaclawCenkowski,noory,1626,1604,0-1,300+0,C23,54,2025.05.30
mcFritz,frpr,1360,1247,1-0,300+0,B44,35,2025.05.30
tollfree,JoseRaoul,1463,1321,1-0,300+0,D04,57,2025.05.30
loveflyfishing,KnightyKnites,1528,1763,1-0,180+0,A01,151,2025.05.30
kikocu,MaNuNu,1775,1707,1-0,180+0,A40,57,2025.05.30
kapilaero,Sakovic,1633,1758,1-0,180+0,C00,55,2025.05.30
TotoLeTak,AFCERGY,1593,1644,1-0,180+0,A00,111,2025.05.30
dad,soopaman,1576,1387,1-0,180+0,A03,65,2025.05.30
gsfoote,maskarado,1723,1727,0-1,180+0,D00,52,2025.05.30
cebas,eyestiger,1857,1837,1/2-1/2,180+0,C02,130,2025.05.30
ChequeMade,pirathonmace,1626,1534,1-0,180+0,B07,125,2025.05.30
piaanist,rusalka,1150,1337,0-1,120+1,C50,118,2025.05.30
hthen,asalman,1724,1802,0-1,180+0,A20,76,2025.05.30
StevanM,cveto,1873,1557,1-0,180+0,A41,99,2025.05.30
LorenzoDV,chopinscherzo,1436,1216,0-1,300+0,C00,46,2025.05.30
noory,cigla,1597,1532,1-0,240+0,B20,207,2025.05.30
HalixxSabre,theprof,1736,1736,1-0,180+0,C00,67,2025.05.30
CeruleanJS,foggydew,1951,2242,0-1,300+0,A15,122,2025.05.30
capricornus,frpr,1356,1253,1-0,300+0,B00,63,2025.05.30
shambhala,WaclawCenkowski,1696,1616,0-1,180+0,C30,74,2025.05.30
VersaGlobe,patc,1124,1659,0-1,180+0,D31,44,2025.05.30
MaNuNu,kikocu,1697,1785,1-0,180+0,B30,79,2025.05.30
camthejam,ErrareHumanumEst,1585,1788,0-1,180+0,D32,140,2025.05.30
Caarreeyy,admnoite,1506,1559,0-1,300+0,D06,76,2025.05.30
Sakovic,kapilaero,1753,1638,1-0,180+0,C45,87,2025.05.30
soopaman,dad,1391,1572,0-1,180+0,B10,80,2025.05.30
Vassis,mcFritz,1362,1352,0-1,300+0,C47,50,2025.05.30
theprof,HalixxSabre,1728,1744,1-0,180+0,C00,67,2025.05.30
JoseRaoul,tollfree,1328,1458,0-1,300+0,A52,60,2025.05.30
Makhmoor,naomi,1438,1480,0-1,600+0,B00,52,2025.05.30
AFCERGY,loveflyfishing,1655,1517,0-1,180+0,A41,104,2025.05.30
Deemon,cebas,1722,1849,0-1,180+0,A40,138,2025.05.30
LWRoad,ShallowPurple,1459,1663,0-1,300+0,A04,72,2025.05.30
pikozrout,GoldBarMM,2309,3080,0-1,900+1,A08,70,2025.05.30
gsfoote,ChessAttack,1717,1637,1-0,180+0,D00,69,2025.05.30
maskarado,fiesh,1734,1763,0-1,180+0,C20,106,2025.05.30
pirathonmace,ChequeMade,1523,1637,1-0,180+0,D02,93,2025.05.30
gegino,TotoLeTak,1472,1588,0-1,300+0,D31,68,2025.05.30
superfractalmove,LuigiBot,1714,1628,0-1,900+0,B22,62,2025.05.30
rusalka,piaanist,1341,1136,1/2-1/2,120+1,C25,171,2025.05.30
krankenstein,KnightyKnites,1293,1720,0-1,180+0,D00,102,2025.05.30
HalixxSabre,theprof,1736,1736,1-0,180+0,C00,57,2025.05.30
cveto,StevanM,1543,1887,1-0,180+0,C20,53,2025.05.30
kikocu,MaNuNu,1779,1703,1-0,180+0,B06,115,2025.05.30
shambhala,LSQUARED,1690,1596,1-0,180+0,B12,73,2025.05.30
kapilaero,Sakovic,1644,1747,0-1,180+0,C00,80,2025.05.30
Pakpawn,humma,1522,1662,0-1,180+0,B10,78,2025.05.30
cigla,noory,1522,1607,1-0,240+0,D20,117,2025.05.30
morlok,ErrareHumanumEst,1422,1786,0-1,180+0,C21,90,2025.05.30
foggydew,CeruleanJS,2239,1954,1-0,300+0,B10,47,2025.05.30
Troublemixer,icexman,1297,1449,1-0,300+0,C50,105,2025.05.30
theprof,HalixxSabre,1744,1728,0-1,180+0,C00,122,2025.05.30
DonTBeadick,sojourner,1350,1292,1-0,480+0,C26,43,2025.05.30
dad,camthejam,1580,1577,0-1,180+0,A02,78,2025.05.30
frpr,capricornus,1251,1358,1/2-1/2,300+0,D02,144,2025.05.30
ChessAttack,gsfoote,1627,1727,1-0,180+0,B50,71,2025.05.30
ChequeMade,pirathonmace,1631,1529,1-0,180+0,B07,121,2025.05.30
hastrman,Dpouchy,1639,1399,1-0,120+12,C41,31,2025.05.30
admnoite,HarryPaul,1563,1774,0-1,180+0,A40,80,2025.05.30
loveflyfishing,AFCERGY,1522,1650,0-1,180+0,A01,134,2025.05.30
fiesh,maskarado,1772,1725,0-1,180+0,B02,62,2025.05.30
StevanM,cveto,1885,1545,1-0,180+0,A41,81,2025.05.30
bluechip,scalaQueen,1742,1834,1-0,180+0,A80,107,2025.05.30
cebas,hthen,1840,1730,1-0,180+0,B06,41,2025.05.30
tollfree,JoseRaoul,1469,1313,0-1,300+0,D04,88,2025.05.30
piaanist,rusalka,1150,1337,0-1,120+1,B20,84,2025.05.30
Vassis,bobjay,1354,1374,1-0,300+5,C47,73,2025.05.30
camthejam,dad,1577,1580,1/2-1/2,180+0,A11,113,2025.05.30
MaNuNu,kikocu,1693,1789,1-0,180+0,B30,109,2025.05.30
Sakovic,kapilaero,1741,1650,1-0,180+0,C41,63,2025.05.30
humma,Pakpawn,1674,1510,0-1,180+0,C42,88,2025.05.30
BudFive,admnoite,1599,1570,1-0,180+0,B07,79,2025.05.30
ShallowPurple,antvrs,1853,1910,0-1,900+0,A04,192,2025.05.30
ErrareHumanumEst,cebas,1793,1828,0-1,180+0,B01,52,2025.05.30
HalixxSabre,theprof,1719,1753,1-0,180+0,C00,77,2025.05.30
gsfoote,ChessAttack,1738,1616,0-1,180+0,A40,52,2025.05.30
Juanji,gegino,1030,1471,0-1,300+0,B30,17,2025.05.30
GalinaDoneva,defensamaya,1454,1521,1/2-1/2,180+0,A04,105,2025.05.30
pirathonmace,ChequeMade,1535,1625,0-1,180+0,D02,96,2025.05.30
cveto,HarryPaul,1548,1771,0-1,180+0,C20,60,2025.05.30
noory,cigla,1601,1528,1-0,240+0,B21,71,2025.05.30
maskarado,fiesh,1732,1765,0-1,180+0,C42,80,2025.05.30
Bitinio,erazorhead,1687,1520,0-1,300+0,A57,88,2025.05.30
AlgozBR,hthen,1686,1723,0-1,180+0,A00,70,2025.05.30
rusalka,piaanist,1332,1166,1-0,120+1,A10,63,2025.05.30
frpr,sojourner,1242,1301,1-0,300+0,A45,55,2025.05.30
loveflyfishing,HalixxSabre,1526,1715,0-1,180+0,A01,144,2025.05.30
patriotscout,morlok,1557,1427,1-0,180+0,B31,113,2025.05.30
laspac,vasiliscus,1423,1468,0-1,300+0,C26,104,2025.05.30
inemuri,Troublemixer,1283,1289,0-1,300+0,A04,42,2025.05.30
Pakpawn,humma,1498,1686,1-0,180+0,D02,61,2025.05.30
kikocu,MaNuNu,1783,1699,1-0,180+0,A40,129,2025.05.30
kapilaero,Sakovic,1640,1751,1-0,180+0,C01,95,2025.05.30
cigla,noory,1535,1594,0-1,240+0,A50,98,2025.05.30
LaurentDelaon,icexman,1183,1462,1-0,300+0,C28,47,2025.05.30
Troublemixer,pvdha,1281,1276,1-0,300+0,B20,67,2025.05.30
JoseRaoul,tollfree,1320,1464,0-1,300+0,A52,64,2025.05.30
Deemon,gsfoote,1730,1730,0-1,180+0,A45,70,2025.05.30
defensamaya,GalinaDoneva,1514,1461,1-0,180+0,A00,67,2025.05.30
DerrickH,LuigiBot,1478,1623,0-1,900+0,A56,96,2025.05.30
Luzilein,Cantabrico,1471,1464,0-1,900+0,C44,126,2025.05.30
LWRoad,Sccorpionn,1467,1483,0-1,180+0,A06,50,2025.05.30
TotoLeTak,Bormaglot,1582,1486,1-0,180+0,A00,57,2025.05.30
hthen,AlgozBR,1732,1677,0-1,180+0,A20,70,2025.05.30
fiesh,maskarado,1774,1723,0-1,180+0,C50,46,2025.05.30
ChequeMade,seabed,1618,1562,1-0,120+2,B22,49,2025.05.30
pirathonmace,GeorgeCool,1541,1646,0-1,180+0,A40,90,2025.05.30
icexman,LaurentDelaon,1459,1186,1-0,300+0,B07,95,2025.05.30
hastrman,FreeMind,1641,1953,0-1,120+12,D46,128,2025.05.30
humma,Pakpawn,1682,1502,1-0,180+0,C42,73,2025.05.30
cveto,camthejam,1539,1586,1-0,180+0,B22,93,2025.05.30
erazorhead,JMarGa,1527,1573,0-1,300+0,B02,78,2025.05.30
patriotscout,gsfoote,1562,1725,0-1,180+0,B50,128,2025.05.30
HalixxSabre,loveflyfishing,1711,1530,1-0,180+0,B06,93,2025.05.30
MoosMutz,GalinaDoneva,1809,1463,1-0,300+0,B01,125,2025.05.30
billig,shambhala,1638,1683,0-1,180+0,A41,70,2025.05.30
MaNuNu,kikocu,1705,1777,0-1,180+0,B30,62,2025.05.30
morlok,VersaGlobe,1441,1077,0-1,180+0,B07,54,2025.05.30
seabed,ChequeMade,1569,1611,0-1,120+2,C23,92,2025.05.30
amiriyan,hejkal,1439,1469,0-1,120+12,C24,66,2025.05.30
noory,cigla,1587,1542,1-0,240+0,B40,119,2025.05.30
Bitinio,frpr,1686,1243,1-0,300+0,A40,65,2025.05.30
Pakpawn,humma,1506,1678,0-1,180+0,B12,74,2025.05.30
LuigiBot,Navarrra,1634,1500,0-1,900+0,C25,124,2025.05.30
TotoLeTak,defensamaya,1575,1521,1-0,180+0,B07,21,2025.05.30
maskarado,Xizor,1728,1847,0-1,180+0,A08,60,2025.05.30
pvdha,Troublemixer,1284,1273,0-1,300+0,D00,124,2025.05.30
GeorgeCool,pirathonmace,1640,1547,1-0,180+0,B07,63,2025.05.30
CeruleanJS,LWRoad,1953,1468,1-0,300+0,A50,53,2025.05.30
GoldBarMM,pikozrout,3079,2309,1-0,900+1,C42,53,2025.05.30
camthejam,cveto,1579,1546,1-0,180+0,A21,101,2025.05.30
Olosgnow,HalixxSabre,1535,1707,0-1,180+0,B00,38,2025.05.30
LorenzoTraldi,ZoranBogojevic,1615,1484,1-0,300+0,A06,99,2025.05.30
tollfree,JoseRaoul,1459,1327,1-0,300+0,D04,57,2025.05.30
loveflyfishing,shambhala,1518,1695,1-0,180+0,A01,45,2025.05.30
Cantabrico,Luzilein,1455,1480,1-0,900+0,A46,67,2025.05.30
gsfoote,morlok,1722,1444,1-0,180+0,A80,59,2025.05.30
kikocu,MaNuNu,1787,1695,0-1,180+0,A40,94,2025.05.30
GalinaDoneva,inemuri,1459,1287,1-0,300+0,A40,35,2025.05.30
Anselmus,laspac,1445,1431,1-0,120+12,C62,67,2025.05.30
JMarGa,erazorhead,1582,1518,0-1,300+0,A45,57,2025.05.30
inemuri,GalinaDoneva,1292,1454,0-1,300+0,A04,38,2025.05.30
WaclawCenkowski,Sccorpionn,1627,1472,0-1,240+0,C23,78,2025.05.30
GalinaDoneva,inemuri,1449,1297,1-0,180+0,A40,35,2025.05.30
drumme,tacneno,1295,1286,0-1,300+0,C00,52,2025.05.30
spannjt,MoosMutz,1454,1807,0-1,300+0,A45,118,2025.05.30
RADACK,Kiwrin,1830,1642,1-0,180+0,C44,53,2025.05.30
KidReno,GalinaDoneva,1596,1454,1-0,300+0,B01,41,2025.05.30
pirathonmace,GeorgeCool,1536,1651,1-0,180+0,D02,119,2025.05.30
Navarrra,LuigiBot,1505,1629,0-1,900+0,B22,106,2025.05.30
humma,Pakpawn,1674,1510,1-0,180+0,C41,75,2025.05.30
chasp,TotoLeTak,1564,1583,1-0,180+0,A56,57,2025.05.30
shambhala,maskarado,1703,1720,0-1,180+0,D94,54,2025.05.30
cigla,noory,1533,1596,1-0,240+0,D07,103,2025.05.30
krankenstein,rusalka,1594,1671,1-0,900+0,A45,63,2025.05.30
frpr,Bitinio,1244,1685,0-1,300+0,A81,52,2025.05.30
gsfoote,MaNuNu,1714,1703,1-0,180+0,B06,59,2025.05.30
COMTIBoy,Olosgnow,1650,1541,1-0,180+0,C00,93,2025.05.30
Xizor,Deemon,1841,1736,1-0,180+0,A43,113,2025.05.30
GalinaDoneva,KidReno,1459,1591,0-1,300+0,D02,84,2025.05.30
cveto,patriotscout,1554,1554,0-1,180+0,B00,144,2025.05.30
cassiorsi,camthejam,1624,1570,0-1,180+0,A00,62,2025.05.30
Kiwrin,RADACK,1646,1826,0-1,180+0,D02,72,2025.05.30
ZoranBogojevic,LorenzoTraldi,1489,1607,0-1,300+0,A41,78,2025.05.30
Tirado,airat,2010,1845,1-0,180+0,B40,57,2025.05.30
inemuri,Troublemixer,1306,1264,0-1,300+0,A04,32,2025.05.30
MoosMutz,spannjt,1805,1456,1-0,300+0,B00,119,2025.05.30
ozangi,callipygian,1548,1599,0-1,180+0,C23,42,2025.05.30
erazorhead,JMarGa,1517,1583,1/2-1/2,300+0,B01,148,2025.05.30
JoseRaoul,tollfree,1335,1454,0-1,300+0,A52,44,2025.05.30
GeorgeCool,pirathonmace,1645,1542,1-0,180+0,B07,87,2025.05.30
Troublemixer,inemuri,1271,1299,0-1,300+0,B00,58,2025.05.30
Pakpawn,seabed,1517,1562,0-1,120+2,B34,66,2025.05.30
MaNuNu,TotoLeTak,1697,1589,1-0,180+0,C41,99,2025.05.30
Bitinio,frpr,1700,1229,0-1,300+0,D10,80,2025.05.30
WaclawCenkowski,GalinaDoneva,1622,1464,1-0,300+0,B01,55,2025.05.30
LaurentDelaon,Anselmus,1189,1442,0-1,120+12,C22,68,2025.05.30
drumme,laspac,1284,1442,1-0,300+0,C42,49,2025.05.30
maskarado,shambhala,1712,1711,1-0,180+0,B06,43,2025.05.30
MIHAILOP,akx,2197,1832,1-0,180+0,C33,93,2025.05.30
noory,cigla,1606,1523,0-1,240+0,B30,28,2025.05.30
RADACK,Kiwrin,1822,1650,1-0,180+0,C44,63,2025.05.30
defensamaya,ImgonnaMateYou,1528,1594,0-1,180+0,A00,82,2025.05.30
COMTIBoy,Olosgnow,1661,1530,0-1,180+0,C41,62,2025.05.30
camthejam,ruilopez,1582,1368,0-1,180+0,A21,100,2025.05.30
cigla,noory,1529,1600,0-1,240+0,D07,108,2025.05.30
Troublemixer,pvdha,1279,1276,0-1,300+0,B20,78,2025.05.30
patriotscout,Xizor,1557,1838,0-1,180+0,C02,100,2025.05.30
Luzilein,Navarrra,1488,1497,0-1,900+0,C50,148,2025.05.30
melun,fiesh,1711,1784,1-0,180+0,C42,111,2025.05.30
GalinaDoneva,KidReno,1469,1586,0-1,300+0,C10,116,2025.05.30
airat,Deemon,1856,1725,0-1,180+0,B28,116,2025.05.30
alextheseaman,Macaco,1603,1534,1-0,180+0,B00,49,2025.05.30
pirathonmace,GeorgeCool,1531,1656,1-0,180+0,D02,79,2025.05.30
LorenzoTraldi,ZoranBogojevic,1624,1478,0-1,300+0,A06,98,2025.05.30
shambhala,maskarado,1703,1720,1-0,180+0,C21,69,2025.05.30
callipygian,saltygrape,1602,1462,1/2-1/2,180+0,D00,50,2025.05.30
laspac,JoseRaoul,1436,1344,1-0,300+0,B20,57,2025.05.30
pertinent,corneliosif,1868,1898,1-0,900+0,B10,97,2025.05.30
tollfree,Nochance,1464,1381,0-1,300+0,D00,70,2025.05.30
patc,LWRoad,1655,1472,1-0,180+0,D00,73,2025.05.30
seabed,Pakpawn,1555,1524,1-0,120+2,C50,56,2025.05.30
mbachir,cassiorsi,1682,1631,1-0,180+0,A04,75,2025.05.30
akx,Tirado,1820,2022,1-0,180+0,D01,41,2025.05.30
MaNuNu,Inflames,1705,1723,0-1,180+0,B10,86,2025.05.30
erazorhead,spannjt,1510,1463,1-0,300+0,B00,91,2025.05.30
cveto,camthejam,1562,1574,0-1,180+0,B22,84,2025.05.30
ruilopez,humma,1370,1672,0-1,180+0,B10,78,2025.05.30
JMarGa,Olosgnow,1593,1520,0-1,300+0,A40,41,2025.05.30
Kiwrin,RADACK,1654,1818,0-1,180+0,D02,72,2025.05.30
Halupkihead,hgokuh,1799,1464,1-0,300+0,D00,119,2025.05.30
inemuri,reimari,1292,1249,1-0,300+0,A00,41,2025.05.30
alextheseaman,Macaco,1613,1524,0-1,180+0,B00,48,2025.05.30
Procyon,frpr,1358,1234,1-0,300+0,A40,71,2025.05.30
noory,cigla,1610,1519,0-1,240+0,B20,54,2025.05.30
HWPer,WaclawCenkowski,1500,1617,0-1,300+0,C53,54,2025.05.30
venazvz,scalaQueen,1787,1827,0-1,180+0,D02,84,2025.05.30
fiesh,melun,1777,1718,1-0,180+0,C55,135,2025.05.30
KidReno,GalinaDoneva,1580,1475,1-0,300+0,B00,101,2025.05.30
GeorgeCool,pirathonmace,1651,1536,1-0,180+0,B07,79,2025.05.30
airat,toao,1851,1692,1-0,180+0,C44,45,2025.05.30
Tirado,akx,2018,1824,1-0,180+0,C58,53,2025.05.30
Pakpawn,shambhala,1528,1699,0-1,180+0,B43,62,2025.05.30
inemuri,Troublemixer,1284,1287,1-0,300+0,A00,111,2025.05.30
JMarGa,Caarreeyy,1587,1512,1-0,300+0,D13,89,2025.05.30
VictoriaBot,HBtime,1890,2147,0-1,900+0,B07,50,2025.05.30
Thialf,mbachir,1876,1686,1-0,180+0,B06,79,2025.05.30
cassiorsi,seabed,1624,1562,1-0,120+2,A00,73,2025.05.30
spannjt,erazorhead,1453,1520,1-0,300+0,A45,67,2025.05.30
Kiwrin,cveto,1664,1552,0-1,180+0,B07,92,2025.05.30
naomi,camthejam,1469,1585,1-0,180+0,A45,39,2025.05.30
RADACK,MaNuNu,1829,1694,0-1,180+0,B06,82,2025.05.30
Deemon,Inflames,1717,1733,1-0,180+0,A40,29,2025.05.30
cigla,noory,1525,1604,0-1,240+0,D20,46,2025.05.30
JoseRaoul,Bitinio,1347,1698,0-1,300+0,A81,50,2025.05.30
Nochance,tollfree,1371,1474,1-0,300+0,B20,131,2025.05.30
akx,Tirado,1828,2014,0-1,180+0,D00,36,2025.05.30
Olosgnow,Macaco,1528,1516,0-1,180+0,B00,54,2025.05.30
morlok,ruilopez,1437,1377,1-0,180+0,C21,73,2025.05.30
GalinaDoneva,KidReno,1481,1574,0-1,300+0,A00,54,2025.05.30
alextheseaman,toao,1620,1685,0-1,180+0,E21,76,2025.05.30
WaclawCenkowski,HWPer,1611,1506,1-0,300+0,B12,41,2025.05.30
pirathonmace,GeorgeCool,1542,1645,0-1,180+0,D03,54,2025.05.30
rusalka,krankenstein,1278,1285,0-1,120+12,C25,66,2025.05.30
patriotscout,ozangi,1549,1556,1-0,180+0,B01,102,2025.05.30
scalaQueen,venazvz,1820,1794,1-0,180+0,B32,49,2025.05.30
Tirado,akx,2010,1832,1-0,180+0,C58,109,2025.05.30
noory,cigla,1614,1515,0-1,240+0,B30,102,2025.05.30
Jakubas,Mariorichard,1754,1630,1-0,900+0,C55,85,2025.05.30
shambhala,Pakpawn,1694,1533,1-0,180+0,C21,27,2025.05.30
erazorhead,laspac,1514,1442,1-0,300+0,C25,87,2025.05.30
Hugoclorinda,ShallowPurple,1766,1898,1-0,900+0,D35,97,2025.05.30
spannjt,icexman,1444,1468,1-0,300+0,D00,57,2025.05.30
KidReno,GalinaDoneva,1568,1487,1-0,300+0,B06,97,2025.05.30
volki,inemuri,1548,1271,0-1,300+0,B00,48,2025.05.30
GeorgeCool,pirathonmace,1639,1548,1-0,180+0,B07,93,2025.05.30
Olosgnow,RADACK,1530,1827,0-1,180+0,D00,68,2025.05.30
venazvz,scalaQueen,1785,1829,1-0,180+0,C50,107,2025.05.30
Deemon,Thialf,1705,1888,1-0,180+0,A45,141,2025.05.30
frpr,Procyon,1240,1352,0-1,300+0,A45,72,2025.05.30
MaNuNu,epsy,1695,1653,1/2-1/2,180+0,C00,78,2025.05.30
TotoLeTak,cveto,1581,1560,1-0,180+0,C41,101,2025.05.30
Pakpawn,shambhala,1538,1689,0-1,180+0,B06,96,2025.05.30
JoseRaoul,efebis,1337,1274,1-0,300+0,D21,35,2025.05.30
LWRoad,lightsabre,1480,1489,0-1,180+0,A06,68,2025.05.30
inemuri,volki,1274,1545,0-1,300+0,A00,46,2025.05.30
Cockoo,Macaco,1428,1510,0-1,180+0,B00,72,2025.05.30
ruilopez,Navarrra,1648,1502,1-0,300+16,C44,144,2025.05.30
toao,Bermudes,1684,1283,1-0,180+0,C41,37,2025.05.30
Caarreeyy,JMarGa,1502,1597,1-0,300+0,D15,51,2025.05.30
akx,Tirado,1836,2006,0-1,180+0,C11,100,2025.05.30
icexman,spannjt,1460,1452,1-0,300+0,C55,65,2025.05.30
volki,inemuri,1542,1277,1-0,300+0,B00,51,2025.05.30
cigla,noory,1521,1608,0-1,240+0,D07,114,2025.05.30
stealthbomber,TacticianPro,1534,1494,1-0,180+0,D07,107,2025.05.30
USCFBrandon,BorkaTower,1009,2947,0-1,60+0,A43,44,2025.05.30
volki,erazorhead,1551,1505,0-1,300+0,B13,96,2025.05.30
efebis,JoseRaoul,1264,1353,1-0,300+0,B20,83,2025.05.30
blore,mcstorytaller,1982,1918,1/2-1/2,900+10,C10,170,2025.05.30
Bitinio,Nochance,1696,1373,1-0,180+0,D20,63,2025.05.30
venazvz,kamenozrout,1789,1954,0-1,300+0,C02,124,2025.05.30
GalinaDoneva,Macaco,1478,1519,1-0,180+0,B00,57,2025.05.30
tollfree,Cockoo,1467,1435,1-0,300+0,A46,61,2025.05.30
epsy,MaNuNu,1644,1704,1-0,180+0,A40,135,2025.05.30
RADACK,Sirena,1825,1525,1-0,180+0,B22,39,2025.05.30
shambhala,GeorgeCool,1682,1646,1-0,180+0,C21,103,2025.05.30
melun,Deemon,1710,1713,1-0,180+0,B23,55,2025.05.30
rajasthan,Pakpawn,1214,1536,0-1,180+0,C24,26,2025.05.30
KidReno,Olosgnow,1561,1537,1-0,300+0,C00,51,2025.05.30
tacneno,ZMLC,1277,1342,1-0,600+0,B06,61,2025.05.30
pirathonmace,giggiuno,1557,1514,0-1,180+0,A41,68,2025.05.30
LWRoad,pcostabel,1472,1488,1-0,180+0,A06,45,2025.05.30
RADACK,MCCapitan,1822,1598,1-0,180+0,C41,65,2025.05.30
TacticianPro,stealthbomber,1485,1543,1-0,180+0,C24,97,2025.05.30
Nochance,Bitinio,1375,1694,0-1,180+0,B20,72,2025.05.30
Deemon,melun,1705,1718,1-0,180+0,D00,93,2025.05.30
Tirado,akx,2001,1841,1-0,180+0,C41,125,2025.05.30
JMarGa,Caarreeyy,1599,1500,1/2-1/2,300+0,D13,88,2025.05.30
frpr,Halupkihead,1242,1780,0-1,300+0,A45,58,2025.05.30
peterjohn,Macaco,1417,1529,1-0,180+0,A40,31,2025.05.30
Cockoo,maxthy,1437,1342,1/2-1/2,300+0,C00,178,2025.05.30
Juanji,rajasthan,1034,1210,0-1,120+12,C25,28,2025.05.30
noory,cigla,1602,1527,1-0,240+0,B46,65,2025.05.30
morlok,Oak,1441,1609,0-1,180+0,C21,98,2025.05.30
inemuri,GalinaDoneva,1281,1474,0-1,180+0,A04,38,2025.05.30
pcostabel,ozangi,1495,1549,0-1,180+0,B01,128,2025.05.30
GeorgeCool,shambhala,1637,1691,1-0,180+0,B20,75,2025.05.30
Sirena,Centerman,1513,1703,1-0,180+0,A34,48,2025.05.30
GalinaDoneva,inemuri,1470,1285,1-0,180+0,A00,35,2025.05.30
MaNuNu,epsy,1714,1634,0-1,180+0,C00,86,2025.05.30
inemuri,GalinaDoneva,1289,1466,0-1,180+0,A04,38,2025.05.30
drtarunmitra,KidReno,1484,1555,0-1,300+0,C41,86,2025.05.30
JoseRaoul,efebis,1342,1270,1-0,300+0,D21,73,2025.05.30
inemuri,volki,1292,1548,0-1,300+0,A00,94,2025.05.30
Centerman,pirathonmace,1715,1545,0-1,180+0,B06,116,2025.05.30
Mariorichard,Jakubas,1636,1749,0-1,900+0,C00,92,2025.05.30
Bitinio,Nochance,1708,1361,0-1,180+0,D50,72,2025.05.30
kamenozrout,venazvz,1949,1794,1-0,300+0,C45,43,2025.05.30
akx,Tirado,1829,2013,1-0,180+0,D01,81,2025.05.30
melun,Deemon,1710,1713,1-0,180+0,B23,67,2025.05.30
erazorhead,seta,1499,1427,1-0,300+0,C00,77,2025.05.30
Babuya,rusalka,1428,1267,0-1,120+12,B20,24,2025.05.30
corneliosif,pertinent,1890,1876,1-0,900+0,D60,115,2025.05.30
skid,JMarGa,1528,1609,1-0,300+0,D02,23,2025.05.30
shambhala,GeorgeCool,1701,1627,0-1,180+0,A04,104,2025.05.30
gjblargo,peterjohn,1425,1409,0-1,300+0,D06,90,2025.05.30
ChrisVermaak,Juanji,1246,1038,1-0,300+5,C47,34,2025.05.30
tacneno,icexman,1265,1472,1-0,120+12,C51,39,2025.05.30
CroatianKnight,cigla,1580,1518,0-1,180+2,D20,114,2025.05.30
Deemon,DuranM,1718,1839,0-1,180+0,A45,108,2025.05.30
LuigiBot,ETERNALWISDOM,1626,1376,1-0,900+0,C20,65,2025.05.30
COMTIBoy,MaNuNu,1668,1707,0-1,180+0,B06,82,2025.05.30
volki,inemuri,1545,1295,1-0,300+0,B00,89,2025.05.30
scalaQueen,LWRoad,1827,1474,1-0,180+0,B01,63,2025.05.30
AFCERGY,epsy,1642,1642,1-0,180+0,A40,89,2025.05.30
Tirado,akx,2009,1833,1-0,180+0,C58,153,2025.05.30
Halupkihead,frpr,1755,1244,1-0,300+0,B06,95,2025.05.30
saltygrape,humma,1466,1668,0-1,180+0,A00,74,2025.05.30
roderick,laspac,1404,1435,0-1,300+0,A10,62,2025.05.30
gediminasb,hejkal,1584,1475,1-0,120+12,C42,79,2025.05.30
KidReno,HWPer,1548,1513,1-0,300+0,B12,107,2025.05.30
pirathonmace,Macaco,1554,1520,0-1,180+0,A40,70,2025.05.30
Fleskusflint,Sirena,1530,1521,1-0,180+0,A44,71,2025.05.30
melun,fiesh,1717,1770,0-1,180+0,C42,120,2025.05.30
JMarGa,erazorhead,1603,1505,1-0,300+0,A45,37,2025.05.30
Nochance,morlok,1368,1434,0-1,180+0,B20,76,2025.05.30
Onechesslife,ChrisVermaak,1254,1238,0-1,300+5,D00,84,2025.05.30
inemuri,volki,1298,1542,0-1,300+0,A00,70,2025.05.30
COMTIBoy,loveflyfishing,1663,1523,1-0,180+0,B06,85,2025.05.30
wackytackypatzer,JoseRaoul,1422,1353,1-0,300+0,B24,111,2025.05.30
DuranM,shambhala,1850,1690,0-1,180+0,B06,78,2025.05.30
foxone,rusalka,1340,1273,1-0,120+12,A45,99,2025.05.30
ShallowPurple,Hugoclorinda,1872,1772,1-0,900+0,C50,85,2025.05.30
LSQUARED,GeorgeCool,1604,1619,0-1,180+0,C20,34,2025.05.30
icexman,roderick,1465,1411,1-0,300+0,C41,89,2025.05.30
johnmar,Caarreeyy,1606,1506,1-0,300+0,C50,63,2025.05.30
laspac,vasiliscus,1426,1477,1-0,300+0,C55,115,2025.05.30
akx,Tirado,1837,2005,0-1,180+0,C11,52,2025.05.30
Bormaglot,saltygrape,1495,1457,0-1,180+0,B07,92,2025.05.30
cigla,CroatianKnight,1525,1573,0-1,180+2,A43,64,2025.05.30
volki,tacneno,1539,1268,1-0,300+0,B40,73,2025.05.30
GeorgeCool,LSQUARED,1619,1604,1/2-1/2,180+0,B20,87,2025.05.30
MCCapitan,MIHAILOP,1598,2197,0-1,180+0,A43,100,2025.05.30
humma,LWRoad,1664,1478,1-0,180+0,C44,41,2025.05.30
barze,gjblargo,1570,1430,1-0,300+0,B20,75,2025.05.30
toao,airat,1689,1846,0-1,180+0,B40,78,2025.05.30
Milsbeek,inemuri,1629,1300,1-0,300+0,A50,25,2025.05.30
